Tanggal,Bawang_Merah
2020-01-03,31500
2020-01-10,32300
2020-01-17,33600
2020-01-24,34100
2020-01-31,32200
2020-02-07,35666.66667
2020-02-14,35266.66667
2020-02-21,31800
2020-02-28,30600
2020-03-06,30333.33333
2020-03-13,30333.33333
2020-03-20,31400
2020-03-27,31333.33333
2020-04-03,35800
2020-04-10,35916.66667
2020-04-17,36200
2020-04-24,38133.33333
2020-04-30,44500
2020-05-01,44533.33333
2020-05-08,44066.66667
2020-05-15,43966.66667
2020-05-22,43250
2020-06-05,42200
2020-06-12,38933.33333
2020-06-19,29000
2020-06-26,27066.66667
2020-07-03,27066.66667
2020-07-10,24233.33333
2020-07-17,23766.66667
2020-07-24,20833.33333
2020-07-31,20100
2020-07-07,19333.33333
2020-07-14,21600
2020-07-21,20666.66667
2020-07-28,22866.66667
2020-09-04,22400
2020-09-11,23633.33333
2020-09-18,24900
2020-09-25,24400
2020-09-30,24166.66667
2020-10-02,25133.33333
2020-10-09,25400
2020-10-16,24633.33333
2020-10-23,24631.11111
2020-11-06,28433.33333
2020-11-13,30266.66667
2020-11-20,27466.66667
2020-11-27,26866.66667
2020-12-04,27100
2020-12-11,24416.66667
2020-12-18,22333.33333
2020-12-25,24444.44444
2020-12-31,25166.66667
2021-01-01,25175
2021-01-08,25650
2021-01-15,26275
2021-01-22,25800
2021-02-05,25225
2021-02-12,27062.5
2021-02-19,26875
2021-02-26,28800
2021-03-05,29100
2021-03-12,28675
2021-03-19,27125
2021-03-26,27812.5
2021-03-31,28218.75
2021-04-02,29550
2021-04-09,29650
2021-04-16,28700
2021-04-23,28750
2021-05-07,17725
2021-05-14,17500
2021-05-21,17500
2021-05-28,18000
2021-06-04,26166.66667
2021-06-11,28133.33333
2021-06-18,28733.33333
2021-06-25,29733.33333
2021-07-02,29550
2021-07-09,31100
2021-07-16,31300
2021-07-23,33875
2021-07-30,29806.25
2021-07-06,26666.66667
2021-07-13,27333.33333
2021-07-20,26333.33333
2021-07-27,26516.66667
2021-09-03,26666.66667
2021-09-10,26733.33333
2021-09-17,27933.33333
2021-09-24,27000
2021-09-30,27266.66667
2021-10-08,26800
2021-10-15,27200
2021-10-22,26000
2021-10-29,25000
2021-11-05,31000
2021-11-12,31400
2021-11-19,30300
2021-11-26,26900
2021-12-03,27600
2021-12-10,27050
2021-12-17,29150
2021-12-24,30150
2021-12-31,29175
2022-01-07,27400
2022-01-14,26500
2022-01-21,24850
2022-01-28,25200
2022-02-04,24537.5
2022-02-11,26800
2022-02-18,28050
2022-02-25,30800
2022-03-04,31555.55556
2022-03-11,33133.33333
2022-03-18,32866.66667
2022-03-25,30933.33333
2022-03-31,29200
2022-04-08,30500
2022-04-15,30437.5
2022-04-22,31650
2022-04-29,32450
2022-05-06,37500
2022-05-13,38500
2022-05-20,36375
2022-05-27,37625
2020-03-06,41000
2020-03-13,40066.66667
2020-03-20,45183.33333
2020-03-27,46800
2020-03-30,48900
2022-07-08,55783.33333
2022-07-15,57550
2022-07-22,56750
2022-07-29,48300
2022-07-05,39900
2022-07-12,33250
2022-07-19,31000
2022-07-26,28300
2022-07-31,29500
2022-09-09,31550
2022-09-16,31962.5
2022-09-23,32050
2022-09-30,32000
2022-10-08,30475
2022-10-15,31700
2022-10-22,32200
2022-10-29,33500
2022-11-04,32150
2022-11-11,30750
2022-11-18,30950
2022-11-25,30000
2022-11-30,29600
2022-12-09,28800
2022-12-16,28600
2022-12-23,29800
2022-12-30,30000
2023-01-06,30800
2023-01-13,33200
2023-01-20,35250
2023-01-27,34450
2023-02-03,35700
2023-02-10,35600
2023-02-17,35900
2023-02-24,34650
2023-03-03,33600
2023-03-10,33800
2023-03-17,35650
2023-03-24,33366.66667
2023-03-31,31350
2023-04-07,28600
2023-04-14,28450
2023-04-21,29350
2023-04-28,30341.66667
2023-05-05,29229.16667
2023-05-12,32425
2023-05-19,32125
2023-05-26,30425
2023-05-31,30300
2023-06-09,31900
2023-06-16,32500
2023-06-23,33750
2023-06-30,34250
2023-07-07,38000
2023-07-14,36950
2023-07-21,35100
2023-07-28,33450
2023-08-04,31933.33333
2023-08-11,30200
2023-08-18,29666.66667
2023-08-25,28916.66667
2023-09-08,
2023-09-15,
2023-09-22,
2023-09-29,
