Tanggal,Cabe_Rawit_Hijau
2020-01-03,33750
2020-01-10,36000
2020-01-17,34300
2020-01-24,34500
2020-01-31,34200
2020-02-07,33466.66667
2020-02-14,31600
2020-02-21,34266.66667
2020-02-28,34733.33333
2020-03-06,33400
2020-03-13,33400
2020-03-20,31066.66667
2020-03-27,29250
2020-04-03,29233.33333
2020-04-10,29416.66667
2020-04-17,26733.33333
2020-04-24,25933.33333
2020-04-30,32500
2020-05-01,33400
2020-05-08,33466.66667
2020-05-15,32333.33333
2020-05-22,33708.33333
2020-06-05,31950
2020-06-12,33733.33333
2020-06-19,26000
2020-06-26,25400
2020-07-03,25933.33333
2020-07-10,28666.66667
2020-07-17,28133.33333
2020-07-24,24966.66667
2020-07-31,24250
2020-07-07,29400
2020-07-14,25433.33333
2020-07-21,23250
2020-07-28,22900
2020-09-04,23233.33333
2020-09-11,23733.33333
2020-09-18,24766.66667
2020-09-25,24533.33333
2020-09-30,24233.33333
2020-10-02,25033.33333
2020-10-09,23533.33333
2020-10-16,24800
2020-10-23,24513.33333
2020-11-06,26766.66667
2020-11-13,27600
2020-11-20,29066.66667
2020-11-27,29666.66667
2020-12-04,30933.33333
2020-12-11,33500
2020-12-18,33800
2020-12-25,36000
2020-12-31,47111.11111
2021-01-01,63875
2021-01-08,63150
2021-01-15,64575
2021-01-22,60650
2021-02-05,57850
2021-02-12,56250
2021-02-19,55300
2021-02-26,47950
2021-03-05,50675
2021-03-12,47875
2021-03-19,41900
2021-03-26,39350
2021-03-31,39350
2021-04-02,42650
2021-04-09,39400
2021-04-16,37450
2021-04-23,34450
2021-05-07,22000
2021-05-14,22000
2021-05-21,21600
2021-05-28,19700
2021-06-04,24500
2021-06-11,26133.33333
2021-06-18,26000
2021-06-25,25200
2021-07-02,26600
2021-07-09,26550
2021-07-16,27600
2021-07-23,29812.5
2021-07-30,27068.75
2021-07-06,31333.33333
2021-07-13,31916.66667
2021-07-20,31833.33333
2021-07-27,31500
2021-09-03,34822.22222
2021-09-10,35266.66667
2021-09-17,35733.33333
2021-09-24,36200
2021-09-30,36033.33333
2021-10-08,37300
2021-10-15,38800
2021-10-22,37500
2021-10-29,36650
2021-11-05,28400
2021-11-12,28750
2021-11-19,26750
2021-11-26,26700
2021-12-03,31600
2021-12-10,34300
2021-12-17,36400
2021-12-24,36600
2021-12-31,37100
2022-01-07,47450
2022-01-14,45400
2022-01-21,46850
2022-01-28,45450
2022-02-04,46387.5
2022-02-11,40950
2022-02-18,40600
2022-02-25,39900
2022-03-04,39266.66667
2022-03-11,44533.33333
2022-03-18,44866.66667
2022-03-25,41000
2022-03-31,39866.66667
2022-04-08,39500
2022-04-15,35587.5
2022-04-22,34250
2022-04-29,33837.5
2022-05-06,46000
2022-05-13,42850
2022-05-20,40625
2022-05-27,45550
2020-03-06,55625
2020-03-13,56000
2020-03-20,58433.33333
2020-03-27,60750
2020-03-30,60450
2022-07-08,71633.33333
2022-07-15,87500
2022-07-22,85500
2022-07-29,79900
2022-07-05,65500
2022-07-12,65500
2022-07-19,58937.5
2022-07-26,55250
2022-07-31,56500
2022-09-09,56750
2022-09-16,60187.5
2022-09-23,56550
2022-09-30,46950
2022-10-08,46300
2022-10-15,46200
2022-10-22,40400
2022-10-29,34250
2022-11-04,32150
2022-11-11,30300
2022-11-18,32650
2022-11-25,34100
2022-11-30,32800
2022-12-09,38000
2022-12-16,36950
2022-12-23,40900
2022-12-30,43250
2023-01-06,44750
2023-01-13,51800
2023-01-20,49500
2023-01-27,49587.5
2023-02-03,50100
2023-02-10,45350
2023-02-17,44750
2023-02-24,46100
2023-03-03,45650
2023-03-10,45450
2023-03-17,45400
2023-03-24,40100
2023-03-31,36300
2023-04-07,33462.5
2023-04-14,33400
2023-04-21,32250
2023-04-28,33875
2023-05-05,34416.66667
2023-05-12,33637.5
2023-05-19,32025
2023-05-26,34050
2023-05-31,35033.33333
2023-06-09,35450
2023-06-16,34950
2023-06-23,34600
2023-06-30,35225
2023-07-07,45450
2023-07-14,43350
2023-07-21,39375
2023-07-28,37350
2023-08-04,38600
2023-08-11,39466.66667
2023-08-18,41416.66667
2023-08-25,42750
2023-09-08,
2023-09-15,
2023-09-22,
2023-09-29,
