Tanggal,Daging_Sapi_Paha_Belakang
2020-01-03,120000
2020-01-10,120000
2020-01-17,120000
2020-01-24,120000
2020-01-31,120000
2020-02-07,120000
2020-02-14,120000
2020-02-21,120000
2020-02-28,120000
2020-03-06,120000
2020-03-13,120000
2020-03-20,120000
2020-03-27,120000
2020-04-03,120000
2020-04-10,120000
2020-04-17,120000
2020-04-24,120000
2020-04-30,120000
2020-05-01,120000
2020-05-08,120000
2020-05-15,121333.3333
2020-05-22,124833.3333
2020-06-05,120000
2020-06-12,120000
2020-06-19,120000
2020-06-26,120000
2020-07-03,120000
2020-07-10,120000
2020-07-17,120000
2020-07-24,120000
2020-07-31,120000
2020-07-07,120000
2020-07-14,120000
2020-07-21,120000
2020-07-28,120000
2020-09-04,120000
2020-09-11,120000
2020-09-18,120000
2020-09-25,120000
2020-09-30,120000
2020-10-02,120000
2020-10-09,120000
2020-10-16,120000
2020-10-23,120000
2020-11-06,120000
2020-11-13,120000
2020-11-20,120000
2020-11-27,120000
2020-12-04,120000
2020-12-11,120000
2020-12-18,120000
2020-12-25,120000
2020-12-31,120000
2021-01-01,120000
2021-01-08,120000
2021-01-15,120000
2021-01-22,120000
2021-02-05,120000
2021-02-12,120000
2021-02-19,120000
2021-02-26,120000
2021-03-05,120000
2021-03-12,120000
2021-03-19,120000
2021-03-26,112500
2021-03-31,120000
2021-04-02,121250
2021-04-09,126500
2021-04-16,127500
2021-04-23,125000
2021-05-07,121000
2021-05-14,121000
2021-05-21,121000
2021-05-28,121000
2021-06-04,120208.3333
2021-06-11,130000
2021-06-18,130000
2021-06-25,121333.3333
2021-07-02,118500
2021-07-09,135000
2021-07-16,135000
2021-07-23,135000
2021-07-30,135000
2021-07-06,130000
2021-07-13,130000
2021-07-20,130000
2021-07-27,130000
2021-09-03,130000
2021-09-10,130000
2021-09-17,130000
2021-09-24,130000
2021-09-30,130000
2021-10-08,130000
2021-10-15,130000
2021-10-22,130000
2021-10-29,130000
2021-11-05,137600
2021-11-12,139000
2021-11-19,139000
2021-11-26,137500
2021-12-03,101650
2021-12-10,140000
2021-12-17,140000
2021-12-24,140000
2021-12-31,140500
2022-01-07,130000
2022-01-14,130000
2022-01-21,130000
2022-01-28,130000
2022-02-04,130000
2022-02-11,130000
2022-02-18,130000
2022-02-25,130000
2022-03-04,130000
2022-03-11,130666.6667
2022-03-18,131000
2022-03-25,133333.3333
2022-03-31,141666.6667
2022-04-08,147750
2022-04-15,144687.5
2022-04-22,141250
2022-04-29,141750
2022-05-06,150000
2022-05-13,147500
2022-05-20,147500
2022-05-27,147500
2020-03-06,147500
2020-03-13,147500
2020-03-20,147500
2020-03-27,147500
2020-03-30,145000
2022-07-08,145000
2022-07-15,142250
2022-07-22,142500
2022-07-29,142500
2022-07-05,142500
2022-07-12,142500
2022-07-19,142500
2022-07-26,142500
2022-07-31,142500
2022-09-09,142500
2022-09-16,142500
2022-09-23,142500
2022-09-30,142500
2022-10-08,142500
2022-10-15,142500
2022-10-22,142500
2022-10-29,142500
2022-11-04,142000
2022-11-11,142500
2022-11-18,142500
2022-11-25,142500
2022-11-30,142500
2022-12-09,142500
2022-12-16,142500
2022-12-23,142500
2022-12-30,142500
2023-01-06,142500
2023-01-13,142500
2023-01-20,142500
2023-01-27,142500
2023-02-03,142500
2023-02-10,142500
2023-02-17,142500
2023-02-24,142500
2023-03-03,142500
2023-03-10,142500
2023-03-17,142500
2023-03-24,142500
2023-03-31,142500
2023-04-07,140000
2023-04-14,140000
2023-04-21,140000
2023-04-28,140000
2023-05-05,140000
2023-05-12,140000
2023-05-19,140000
2023-05-26,140000
2023-05-31,140000
2023-06-09,140000
2023-06-16,140000
2023-06-23,140000
2023-06-30,140000
2023-07-07,140000
2023-07-14,140000
2023-07-21,140000
2023-07-28,140000
2023-08-04,140000
2023-08-11,140000
2023-08-18,140000
2023-08-25,140000
2023-09-08,140000
2023-09-08,140000
2023-09-08,140000
2023-09-08,140000
