Tanggal,Gula_Pasir
2020-01-03,13000
2020-01-10,13275
2020-01-17,14000
2020-01-24,14000
2020-01-31,14000
2020-02-07,14000
2020-02-14,14000
2020-02-21,14066.66667
2020-02-28,14200
2020-03-06,14533.33333
2020-03-13,16200
2020-03-20,16633.33333
2020-03-27,17416.66667
2020-04-03,18000
2020-04-10,18000
2020-04-17,18000
2020-04-24,18000
2020-04-30,18000
2020-05-01,17741.66667
2020-05-08,17133.33333
2020-05-15,15966.66667
2020-05-22,15308.33333
2020-06-05,14333.33333
2020-06-12,14333.33333
2020-06-19,14100
2020-06-26,13833.33333
2020-07-03,13733.33333
2020-07-10,13566.66667
2020-07-17,13500
2020-07-24,13233.33333
2020-07-31,13000
2020-07-07,12833.33333
2020-07-14,12833.33333
2020-07-21,12833.33333
2020-07-28,12833.33333
2020-09-04,12700
2020-09-11,12700
2020-09-18,12633.33333
2020-09-25,12533.33333
2020-09-30,12500
2020-10-02,12500
2020-10-09,12500
2020-10-16,12500
2020-10-23,12500
2020-11-06,12500
2020-11-13,12500
2020-11-20,12500
2020-11-27,12500
2020-12-04,12500
2020-12-11,12500
2020-12-18,12500
2020-12-25,12500
2020-12-31,12500
2021-01-01,12650
2021-01-08,12625
2021-01-15,12625
2021-01-22,12625
2021-02-05,12625
2021-02-12,12625
2021-02-19,12625
2021-02-26,12700
2021-03-05,12750
2021-03-12,12750
2021-03-19,12750
2021-03-26,12650
2021-03-31,12625
2021-04-02,12625
2021-04-09,12625
2021-04-16,12625
2021-04-23,12625
2021-05-07,12875
2021-05-14,12875
2021-05-21,12833.33333
2021-05-28,12833.33333
2021-06-04,12500
2021-06-11,12500
2021-06-18,12500
2021-06-25,8993.333333
2021-07-02,11750
2021-07-09,11600
2021-07-16,11600
2021-07-23,11600
2021-07-30,11600
2021-07-06,12500
2021-07-13,12500
2021-07-20,12500
2021-07-27,12500
2021-09-03,12500
2021-09-10,12500
2021-09-17,12500
2021-09-24,12500
2021-09-30,12500
2021-10-08,12500
2021-10-15,12500
2021-10-22,12500
2021-10-29,12500
2021-11-05,13000
2021-11-12,13000
2021-11-19,13000
2021-11-26,13000
2021-12-03,12700
2021-12-10,12466.66667
2021-12-17,12500
2021-12-24,12750
2021-12-31,12500
2022-01-07,12500
2022-01-14,12775
2022-01-21,13550
2022-01-28,13625
2022-02-04,13825
2022-02-11,13875
2022-02-18,13500
2022-02-25,13750
2022-03-04,13666.66667
2022-03-11,13700
2022-03-18,13750
2022-03-25,13833.33333
2022-03-31,13833.33333
2022-04-08,13950
2022-04-15,13875
2022-04-22,13875
2022-04-29,13875
2022-05-06,13750
2022-05-13,13875
2022-05-20,13875
2022-05-27,13875
2020-03-06,13875
2020-03-13,13875
2020-03-20,13875
2020-03-27,13875
2020-03-30,13875
2022-07-08,13875
2022-07-15,13875
2022-07-22,13875
2022-07-29,13875
2022-07-05,13875
2022-07-12,13950
2022-07-19,14000
2022-07-26,14000
2022-07-31,14000
2022-09-09,14000
2022-09-16,14000
2022-09-23,14000
2022-09-30,14000
2022-10-08,14000
2022-10-15,14000
2022-10-22,14000
2022-10-29,14000
2022-11-04,14000
2022-11-11,14000
2022-11-18,14000
2022-11-25,14000
2022-11-30,14000
2022-12-09,14000
2022-12-16,14000
2022-12-23,14000
2022-12-30,14000
2023-01-06,13650
2023-01-13,13650
2023-01-20,14160
2023-01-27,14256.25
2023-02-03,14350
2023-02-10,14350
2023-02-17,14350
2023-02-24,14350
2023-03-03,14350
2023-03-10,14150
2023-03-17,14100
2023-03-24,14100
2023-03-31,14100
2023-04-07,14100
2023-04-14,14100
2023-04-21,14100
2023-04-28,14100
2023-05-05,14100
2023-05-12,14100
2023-05-19,14100
2023-05-26,14100
2023-05-31,14100
2023-06-09,14350
2023-06-16,14350
2023-06-23,14350
2023-06-30,14350
2023-07-07,14215
2023-07-14,14125
2023-07-21,14181.25
2023-07-28,14125
2023-08-04,14133.33333
2023-08-11,14166.66667
2023-08-18,14166.66667
2023-08-25,14166.66667
2023-09-08,
2023-09-15,
2023-09-22,
2023-09-29,
