Tanggal,Ikan_Kembung
2020-01-03,87000
2020-01-10,86500
2020-01-17,86500
2020-01-24,86100
2020-01-31,87500
2020-02-07,69866.66667
2020-02-14,69333.33333
2020-02-21,68933.33333
2020-02-28,68866.66667
2020-03-06,68333.33333
2020-03-13,68666.66667
2020-03-20,68333.33333
2020-03-27,68666.66667
2020-04-03,69133.33333
2020-04-10,69166.66667
2020-04-17,68933.33333
2020-04-24,69133.33333
2020-04-30,69333.33333
2020-05-01,69333.33333
2020-05-08,69133.33333
2020-05-15,69333.33333
2020-05-22,69333.33333
2020-06-05,69333.33333
2020-06-12,69333.33333
2020-06-19,70000
2020-06-26,70000
2020-07-03,70000
2020-07-10,70000
2020-07-17,70133.33333
2020-07-24,70000
2020-07-31,69766.66667
2020-07-07,69400
2020-07-14,67533.33333
2020-07-21,68500
2020-07-28,69666.66667
2020-09-04,69533.33333
2020-09-11,69400
2020-09-18,69533.33333
2020-09-25,69266.66667
2020-09-30,69000
2020-10-02,70333.33333
2020-10-09,70333.33333
2020-10-16,68600
2020-10-23,69555.55556
2020-11-06,70333.33333
2020-11-13,69800
2020-11-20,69933.33333
2020-11-27,70200
2020-12-04,69800
2020-12-11,69666.66667
2020-12-18,69800
2020-12-25,69533.33333
2020-12-31,69666.66667
2021-01-01,61750
2021-01-08,61500
2021-01-15,61500
2021-01-22,61500
2021-02-05,61500
2021-02-12,61500
2021-02-19,61500
2021-02-26,61500
2021-03-05,61200
2021-03-12,61000
2021-03-19,60550
2021-03-26,61000
2021-03-31,61125
2021-04-02,61500
2021-04-09,61500
2021-04-16,59900
2021-04-23,61000
2021-05-07,29650
2021-05-14,30375
2021-05-21,31375
2021-05-28,29250
2021-06-04,56361.11111
2021-06-11,65333.33333
2021-06-18,65000
2021-06-25,64933.33333
2021-07-02,47450
2021-07-09,31750
2021-07-16,32000
2021-07-23,32375
2021-07-30,32850
2021-07-06,69333.33333
2021-07-13,69333.33333
2021-07-20,69333.33333
2021-07-27,69333.33333
2021-09-03,68000
2021-09-10,67666.66667
2021-09-17,67666.66667
2021-09-24,67666.66667
2021-09-30,67666.66667
2021-10-08,37750
2021-10-15,37750
2021-10-22,37750
2021-10-29,37750
2021-11-05,36000
2021-11-12,35400
2021-11-19,35250
2021-11-26,35250
2021-12-03,34450
2021-12-10,34600
2021-12-17,34750
2021-12-24,34450
2021-12-31,34500
2022-01-07,38550
2022-01-14,39600
2022-01-21,40000
2022-01-28,40000
2022-02-04,40000
2022-02-11,40000
2022-02-18,39900
2022-02-25,39900
2022-03-04,35555.55556
2022-03-11,40000
2022-03-18,40000
2022-03-25,40000
2022-03-31,40533.33333
2022-04-08,39800
2022-04-15,40000
2022-04-22,39900
2022-04-29,40000
2022-05-06,40000
2022-05-13,40250
2022-05-20,39562.5
2022-05-27,40312.5
2020-03-06,40812.5
2020-03-13,41250
2020-03-20,41850
2020-03-27,41500
2020-03-30,41850
2022-07-08,41550
2022-07-15,41400
2022-07-22,41250
2022-07-29,41250
2022-07-05,41250
2022-07-12,41250
2022-07-19,41312.5
2022-07-26,41250
2022-07-31,41250
2022-09-09,41250
2022-09-16,41250
2022-09-23,41250
2022-09-30,41000
2022-10-08,41250
2022-10-15,41250
2022-10-22,41250
2022-10-29,41100
2022-11-04,41250
2022-11-11,41100
2022-11-18,41250
2022-11-25,41250
2022-11-30,41100
2022-12-09,41250
2022-12-16,43250
2022-12-23,43650
2022-12-30,42500
2023-01-06,43350
2023-01-13,46250
2023-01-20,45000
2023-01-27,45000
2023-02-03,44600
2023-02-10,42900
2023-02-17,44000
2023-02-24,44400
2023-03-03,44500
2023-03-10,43150
2023-03-17,43450
2023-03-24,43250
2023-03-31,43250
2023-04-07,43250
2023-04-14,43250
2023-04-21,43250
2023-04-28,43250
2023-05-05,43250
2023-05-12,43250
2023-05-19,43250
2023-05-26,43250
2023-05-31,43250
2023-06-09,43100
2023-06-16,43250
2023-06-23,42850
2023-06-30,43250
2023-07-07,43250
2023-07-14,43250
2023-07-21,43250
2023-07-28,40850
2023-08-04,42533.33333
2023-08-11,42200
2023-08-18,42166.66667
2023-08-25,42416.66667
2023-09-08,43100
2023-09-08,43250
2023-09-08,43000
2023-09-08,43062.5

