Tanggal,Harga
2020-01-03,35000
2020-01-10,35000
2020-01-17,35000
2020-01-24,35000
2020-01-31,35000
2020-02-07,29400
2020-02-14,30000
2020-02-21,30000
2020-02-28,30000
2020-03-06,30000
2020-03-13,30600
2020-03-20,30900
2020-03-27,30125
2020-04-03,31100
2020-04-10,30875
2020-04-17,30100
2020-04-24,30300
2020-04-30,30000
2020-05-01,30750
2020-05-08,30300
2020-05-15,31500
2020-05-22,31500
2020-06-05,31500
2020-06-12,31200
2020-06-19,30300
2020-06-26,30900
2020-07-03,31500
2020-07-10,32100
2020-07-17,31000
2020-07-24,31700
2020-07-31,31575
2020-07-07,31200
2020-07-14,27700
2020-07-21,27750
2020-07-28,30800
2020-09-04,29100
2020-09-11,30100
2020-09-18,30800
2020-09-25,30700
2020-09-30,30700
2020-10-02,27000
2020-10-09,27600
2020-10-16,27200
2020-10-23,26833.33333
2020-11-06,25875
2020-11-13,25500
2020-11-20,25500
2020-11-27,25500
2020-12-04,25500
2020-12-11,25500
2020-12-18,25500
2020-12-25,30133.33333
2020-12-31,25500
2021-01-01,28500
2021-01-08,29900
2021-01-15,30000
2021-01-22,30000
2021-02-05,30000
2021-02-12,30000
2021-02-19,30000
2021-02-26,30000
2021-03-05,29850
2021-03-12,29812.5
2021-03-19,29800
2021-03-26,29875
2021-03-31,29875
2021-04-02,30000
2021-04-09,30000
2021-04-16,30750
2021-04-23,31250
2021-05-07,32200
2021-05-14,32750
2021-05-21,30700
2021-05-28,29700
2021-06-04,64416.66667
2021-06-11,65000
2021-06-18,65000
2021-06-25,65000
2021-07-02,56550
2021-07-09,57000
2021-07-16,57000
2021-07-23,57250
2021-07-30,57000
2021-07-06,31666.66667
2021-07-13,31666.66667
2021-07-20,31666.66667
2021-07-27,31666.66667
2021-09-03,33666.66667
2021-09-10,33333.33333
2021-09-17,34000
2021-09-24,33333.33333
2021-09-30,33333.33333
2021-10-08,31000
2021-10-15,31500
2021-10-22,31000
2021-10-29,31000
2021-11-05,30950
2021-11-12,31000
2021-11-19,30950
2021-11-26,31100
2021-12-03,32200
2021-12-10,33100
2021-12-17,33250
2021-12-24,33250
2021-12-31,33250
2022-01-07,31500
2022-01-14,31250
2022-01-21,32650
2022-01-28,32500
2022-02-04,32875
2022-02-11,33250
2022-02-18,38200
2022-02-25,33250
2022-03-04,31666.66667
2022-03-11,31666.66667
2022-03-18,31666.66667
2022-03-25,32000
2022-03-31,31666.66667
2022-04-08,33100
2022-04-15,33125
2022-04-22,33250
2022-04-29,32875
2022-05-06,30000
2022-05-13,32750
2022-05-20,32875
2022-05-27,33062.5
2020-03-06,32500
2020-03-13,32750
2020-03-20,32850
2020-03-27,33050
2020-03-30,33550
2022-07-08,33600
2022-07-15,34200
2022-07-22,34550
2022-07-29,34900
2022-07-05,34900
2022-07-12,34500
2022-07-19,34312.5
2022-07-26,34500
2022-07-31,34500
2022-09-09,34500
2022-09-16,34500
2022-09-23,34500
2022-09-30,34700
2022-10-08,34700
2022-10-15,34200
2022-10-22,39150
2022-10-29,33700
2022-11-04,34350
2022-11-11,35300
2022-11-18,34550
2022-11-25,34500
2022-11-30,34500
2022-12-09,34350
2022-12-16,35150
2022-12-23,35800
2022-12-30,34800
2023-01-06,35850
2023-01-13,40200
2023-01-20,39583.33333
2023-01-27,40625
2023-02-03,40000
2023-02-10,40300
2023-02-17,41500
2023-02-24,39500
2023-03-03,39500
2023-03-10,38550
2023-03-17,38250
2023-03-24,37416.66667
2023-03-31,37750
2023-04-07,37687.5
2023-04-14,36600
2023-04-21,37750
2023-04-28,37833.33333
2023-05-05,38625
2023-05-12,38700
2023-05-19,39000
2023-05-26,39000
2023-05-31,39000
2023-06-09,38550
2023-06-16,39250
2023-06-23,39000
2023-06-30,39000
2023-07-07,39000
2023-07-14,39000
2023-07-21,39000
2023-07-28,39000
2023-08-04,39133.33333
2023-08-11,40200
2023-08-18,38750
2023-08-25,40083.33333
2023-09-08,37950
2023-09-08,38250
2023-09-08,38250
2023-09-08,38062.5
