Tanggal,Ikan_Tuna
2020-01-03,
2020-01-10,
2020-01-17,
2020-01-24,
2020-01-31,
2020-02-07,35000
2020-02-14,35000
2020-02-21,35000
2020-02-28,35000
2020-03-06,35100
2020-03-13,36000
2020-03-20,36500
2020-03-27,36250
2020-04-03,36500
2020-04-10,36125
2020-04-17,35600
2020-04-24,35700
2020-04-30,35375
2020-05-01,36125
2020-05-08,35300
2020-05-15,36200
2020-05-22,35375
2020-06-05,36500
2020-06-12,36200
2020-06-19,35000
2020-06-26,35000
2020-07-03,36700
2020-07-10,36400
2020-07-17,37400
2020-07-24,37300
2020-07-31,35475
2020-07-07,34500
2020-07-14,33200
2020-07-21,32500
2020-07-28,36200
2020-09-04,34500
2020-09-11,35200
2020-09-18,35100
2020-09-25,35100
2020-09-30,35000
2020-10-02,36900
2020-10-09,36500
2020-10-16,36500
2020-10-23,36500
2020-11-06,36500
2020-11-13,36200
2020-11-20,34601.9
2020-11-27,36500
2020-12-04,36500
2020-12-11,36500
2020-12-18,36500
2020-12-25,34333.33333
2020-12-31,36500
2021-01-01,39333.33333
2021-01-08,39333.33333
2021-01-15,37000
2021-01-22,37000
2021-02-05,37000
2021-02-12,37000
2021-02-19,37040
2021-02-26,37000
2021-03-05,36550
2021-03-12,36250
2021-03-19,36250
2021-03-26,36250
2021-03-31,36437.5
2021-04-02,37000
2021-04-09,37000
2021-04-16,37000
2021-04-23,37000
2021-05-07,34325
2021-05-14,34500
2021-05-21,33800
2021-05-28,31537.5
2021-06-04,31000
2021-06-11,34333.33333
2021-06-18,34333.33333
2021-06-25,34333.33333
2021-07-02,44950
2021-07-09,59800
2021-07-16,59800
2021-07-23,60437.5
2021-07-30,59650
2021-07-06,34333.33333
2021-07-13,34333.33333
2021-07-20,34333.33333
2021-07-27,34333.33333
2021-09-03,37666.66667
2021-09-10,37666.66667
2021-09-17,37000
2021-09-24,37666.66667
2021-09-30,37400
2021-10-08,38250
2021-10-15,37750
2021-10-22,38000
2021-10-29,38250
2021-11-05,59500
2021-11-12,59300
2021-11-19,59500
2021-11-26,59500
2021-12-03,61000
2021-12-10,62000
2021-12-17,62000
2021-12-24,61600
2021-12-31,62000
2022-01-07,38050
2022-01-14,37350
2022-01-21,38850
2022-01-28,38750
2022-02-04,39350
2022-02-11,39500
2022-02-18,38750
2022-02-25,39500
2022-03-04,37666.66667
2022-03-11,37666.66667
2022-03-18,37666.66667
2022-03-25,37666.66667
2022-03-31,37666.66667
2022-04-08,39500
2022-04-15,39500
2022-04-22,39500
2022-04-29,39500
2022-05-06,36500
2022-05-13,38500
2022-05-20,38250
2022-05-27,39187.5
2020-03-06,39500
2020-03-13,39500
2020-03-20,40600
2020-03-27,40500
2020-03-30,39950
2022-07-08,40350
2022-07-15,40150
2022-07-22,40300
2022-07-29,40600
2022-07-05,40300
2022-07-12,40000
2022-07-19,39875
2022-07-26,39875
2022-07-31,40150
2022-09-09,40000
2022-09-16,39900
2022-09-23,40000
2022-09-30,40000
2022-10-08,40000
2022-10-15,40150
2022-10-22,40150
2022-10-29,40000
2022-11-04,40000
2022-11-11,40000
2022-11-18,40000
2022-11-25,40150
2022-11-30,39625
2022-12-09,39700
2022-12-16,40687.5
2022-12-23,40700
2022-12-30,39950
2023-01-06,39850
2023-01-13,43250
2023-01-20,42200
2023-01-27,43312.5
2023-02-03,42950
2023-02-10,44400
2023-02-17,44800
2023-02-24,45000
2023-03-03,44300
2023-03-10,41800
2023-03-17,42900
2023-03-24,42500
2023-03-31,42000
2023-04-07,42281.25
2023-04-14,40900
2023-04-21,42000
2023-04-28,42000
2023-05-05,39250
2023-05-12,42500
2023-05-19,42437.5
2023-05-26,42500
2023-05-31,42333.33333
2023-06-09,42500
2023-06-16,42400
2023-06-23,42500
2023-06-30,42500
2023-07-07,42400
2023-07-14,42500
2023-07-21,42375
2023-07-28,42500
2023-08-04,41666.66667
2023-08-11,41266.66667
2023-08-18,41000
2023-08-25,40250
2023-09-08,41139.45
2023-09-08,41250
2023-09-08,41250
2023-09-08,41125
