Tanggal,Kedelai
2020-01-03,24000
2020-01-10,25100
2020-01-17,24100
2020-01-24,23100
2020-01-31,22400
2020-02-07,19533.33333
2020-02-14,19666.66667
2020-02-21,19933.33333
2020-02-28,22066.66667
2020-03-06,19400
2020-03-13,19000
2020-03-20,17866.66667
2020-03-27,16833.33333
2020-04-03,16333.33333
2020-04-10,14958.33333
2020-04-17,14000
2020-04-24,14000
2020-04-30,13750
2020-05-01,13000
2020-05-08,14200
2020-05-15,13533.33333
2020-05-22,15083.33333
2020-06-05,13666.66667
2020-06-12,13266.66667
2020-06-19,13266.66667
2020-06-26,13266.66667
2020-07-03,13133.33333
2020-07-10,12666.66667
2020-07-17,14166.66667
2020-07-24,15200
2020-07-31,15916.66667
2020-07-07,15866.66667
2020-07-14,14866.66667
2020-07-21,14833.33333
2020-07-28,14400
2020-09-04,14233.33333
2020-09-11,14200
2020-09-18,15166.66667
2020-09-25,15133.33333
2020-09-30,18400
2020-10-02,20566.66667
2020-10-09,22866.66667
2020-10-16,21666.66667
2020-10-23,20800
2020-11-06,20400
2020-11-13,20600
2020-11-20,20533.33333
2020-11-27,20866.66667
2020-12-04,22000
2020-12-11,22333.33333
2020-12-18,22666.66667
2020-12-25,23333.33333
2020-12-31,26666.66667
2021-01-01,22150
2021-01-08,20900
2021-01-15,21600
2021-01-22,19300
2021-02-05,19050
2021-02-12,21687.5
2021-02-19,18400
2021-02-26,17950
2021-03-05,19550
2021-03-12,19875
2021-03-19,20700
2021-03-26,20525
2021-03-31,20812.5
2021-04-02,21350
2021-04-09,20775
2021-04-16,18850
2021-04-23,18100
2021-05-07,20500
2021-05-14,20500
2021-05-21,20500
2021-05-28,20500
2021-06-04,12736.11111
2021-06-11,13733.33333
2021-06-18,14533.33333
2021-06-25,14733.33333
2021-07-02,12575
2021-07-09,10625
2021-07-16,10625
2021-07-23,10687.5
2021-07-30,10625
2021-07-06,15800
2021-07-13,15666.66667
2021-07-20,15583.33333
2021-07-27,15666.66667
2021-09-03,15666.66667
2021-09-10,15666.66667
2021-09-17,15666.66667
2021-09-24,16866.66667
2021-09-30,17533.33333
2021-10-08,11750
2021-10-15,11750
2021-10-22,12250
2021-10-29,12250
2021-11-05,11600
2021-11-12,11625
2021-11-19,11625
2021-11-26,11625
2021-12-03,11700
2021-12-10,11750
2021-12-17,11750
2021-12-24,11750
2021-12-31,11750
2022-01-07,12275
2022-01-14,12250
2022-01-21,12250
2022-01-28,12250
2022-02-04,12250
2022-02-11,12250
2022-02-18,12250
2022-02-25,12250
2022-03-04,12600
2022-03-11,12666.66667
2022-03-18,12666.66667
2022-03-25,12666.66667
2022-03-31,12666.66667
2022-04-08,12500
2022-04-15,12500
2022-04-22,12450
2022-04-29,12500
2022-05-06,12500
2022-05-13,12500
2022-05-20,12500
2022-05-27,12500
2020-03-06,12500
2020-03-13,12500
2020-03-20,12500
2020-03-27,12500
2020-03-30,12800
2022-07-08,13250
2022-07-15,13250
2022-07-22,13250
2022-07-29,13250
2022-07-05,13250
2022-07-12,13250
2022-07-19,13250
2022-07-26,13250
2022-07-31,13250
2022-09-09,13250
2022-09-16,13250
2022-09-23,13550
2022-09-30,13750
2022-10-08,13750
2022-10-15,13750
2022-10-22,13750
2022-10-29,13750
2022-11-04,13750
2022-11-11,13750
2022-11-18,13750
2022-11-25,13750
2022-11-30,13750
2022-12-09,13850
2022-12-16,14000
2022-12-23,14000
2022-12-30,13950
2023-01-06,14200
2023-01-13,14150
2023-01-20,14775
2023-01-27,15625
2023-02-03,15900
2023-02-10,15900
2023-02-17,16000
2023-02-24,16000
2023-03-03,16000
2023-03-10,16000
2023-03-17,16000
2023-03-24,16000
2023-03-31,16000
2023-04-07,16000
2023-04-14,16000
2023-04-21,16000
2023-04-28,16000
2023-05-05,16000
2023-05-12,16000
2023-05-19,16000
2023-05-26,16000
2023-05-31,16000
2023-06-09,16000
2023-06-16,16000
2023-06-23,16000
2023-06-30,16000
2023-07-07,16000
2023-07-14,16000
2023-07-21,16000
2023-07-28,16000
2023-08-04,16333.33333
2023-08-11,16333.33333
2023-08-18,16333.33333
2023-08-25,16333.33333
