Tanggal,Minyak Goreng Kemasan Sederhana
2020-01-03,11750
2020-01-10,11650
2020-01-17,11500
2020-01-24,11500
2020-01-31,11500
2020-02-07,11333.33333
2020-02-14,11333.33333
2020-02-21,11333.33333
2020-02-28,11333.33333
2020-03-06,11366.66667
2020-03-13,11333.33333
2020-03-20,11333.33333
2020-03-27,11500
2020-04-03,11533.33333
2020-04-10,11333.33333
2020-04-17,11333.33333
2020-04-24,11333.33333
2020-04-30,11333.33333
2020-05-01,11333.33333
2020-05-08,11400
2020-05-15,11333.33333
2020-05-22,11333.33333
2020-06-05,11250
2020-06-12,11333.33333
2020-06-19,11333.33333
2020-06-26,11333.33333
2020-07-03,11333.33333
2020-07-10,11333.33333
2020-07-17,11333.33333
2020-07-24,11333.33333
2020-07-31,11291.66667
2020-07-07,11333.33333
2020-07-14,11333.33333
2020-07-21,11333.33333
2020-07-28,11333.33333
2020-09-04,11333.33333
2020-09-11,11333.33333
2020-09-18,11466.66667
2020-09-25,11466.66667
2020-09-30,11333.33333
2020-10-02,11466.66667
2020-10-09,11500
2020-10-16,11500
2020-10-23,11500
2020-11-06,11500
2020-11-13,11500
2020-11-20,11666.66667
2020-11-27,11666.66667
2020-12-04,11666.66667
2020-12-11,11708.33333
2020-12-18,11666.66667
2020-12-25,11666.66667
2020-12-31,11666.66667
2021-01-01,11620
2021-01-08,11750
2021-01-15,11850
2021-01-22,11650
2021-02-05,12500
2021-02-12,12500
2021-02-19,12500
2021-02-26,12500
2021-03-05,12500
2021-03-12,12500
2021-03-19,12625
2021-03-26,12750
2021-03-31,12750
2021-04-02,12950
2021-04-09,13000
2021-04-16,13000
2021-04-23,13000
2021-05-07,12850
2021-05-14,12875
2021-05-21,13333.33333
2021-05-28,13333.33333
2021-06-04,13166.66667
2021-06-11,13200
2021-06-18,13366.66667
2021-06-25,13600
2021-07-02,13600
2021-07-09,13375
2021-07-16,13375
2021-07-23,13375
2021-07-30,13562.5
2021-07-06,14333.33333
2021-07-13,14333.33333
2021-07-20,14333.33333
2021-07-27,14333.33333
2021-09-03,14055.55556
2021-09-10,14000
2021-09-17,14000
2021-09-24,14000
2021-09-30,14000
2021-10-08,14250
2021-10-15,14250
2021-10-22,15687.5
2021-10-29,15770
2021-11-05,16100
2021-11-12,16050
2021-11-19,16050
2021-11-26,16050
2021-12-03,16222.5
2021-12-10,16137.5
2021-12-17,16850
2021-12-24,17050
2021-12-31,17101.25
2022-01-07,17250
2022-01-14,17500
2022-01-21,18150
2022-01-28,16800
2022-02-04,14150
2022-02-11,14000
2022-02-18,14750
2022-02-25,14000
2022-03-04,14000
2022-03-11,14000
2022-03-18,14666.66667
2022-03-25,23666.66667
2022-03-31,24800
2022-04-08,24000
2022-04-15,23750
2022-04-22,23750
2022-04-29,23750
2022-05-06,23000
2022-05-13,23250
2022-05-20,23250
2022-05-27,22500
2020-03-06,22250
2020-03-13,22250
2020-03-20,22250
2020-03-27,21900
2020-03-30,20950
2022-07-08,20216.66667
2022-07-15,19250
2022-07-22,18750
2022-07-29,18000
2022-07-05,17950
2022-07-12,17250
2022-07-19,16875
2022-07-26,16750
2022-07-31,16750
2022-09-09,16750
2022-09-16,16750
2022-09-23,16562.5
2022-09-30,16750
2022-10-08,16500
2022-10-15,16250
2022-10-22,16100
2022-10-29,15750
2022-11-04,15750
2022-11-11,15750
2022-11-18,15350
2022-11-25,14750
2022-11-30,14750
2022-12-09,14750
2022-12-16,15050
2022-12-23,15250
2022-12-30,15250
2023-01-06,14750
2023-01-13,14900
2023-01-20,15000
2023-01-27,15000
2023-02-03,15000
2023-02-10,15000
2023-02-17,15000
2023-02-24,15000
2023-03-03,15000
2023-03-10,15000
2023-03-17,15000
2023-03-24,15000
2023-03-31,15000
2023-04-07,15000
2023-04-14,15000
2023-04-21,15000
2023-04-28,15000
2023-05-05,15000
2023-05-12,15000
2023-05-19,15000
2023-05-26,15000
2023-05-31,15000
2023-06-09,15000
2023-06-16,15100
2023-06-23,15150
2023-06-30,15000
2023-07-07,15000
2023-07-14,15000
2023-07-21,15000
2023-07-28,15000
2023-08-04,15333.33333
2023-08-11,15333.33333
2023-08-18,15250
2023-08-25,15333.33333
