Tanggal,Susu_Frisian_Flag
2020-01-03,10000
2020-01-10,10000
2020-01-17,10000
2020-01-24,10000
2020-01-31,10050
2020-02-07,10000
2020-02-14,10000
2020-02-21,10000
2020-02-28,10000
2020-03-06,10000
2020-03-13,10000
2020-03-20,10000
2020-03-27,10000
2020-04-03,10000
2020-04-10,10000
2020-04-17,10000
2020-04-24,10000
2020-04-30,10000
2020-05-01,10000
2020-05-08,10000
2020-05-15,10000
2020-05-22,10000
2020-06-05,10000
2020-06-12,10000
2020-06-19,10000
2020-06-26,10000
2020-07-03,10000
2020-07-10,10000
2020-07-17,10000
2020-07-24,10000
2020-07-31,10000
2020-07-07,10000
2020-07-14,10000
2020-07-21,10000
2020-07-28,10000
2020-09-04,10000
2020-09-11,10000
2020-09-18,10000
2020-09-25,10000
2020-09-30,10000
2020-10-02,10000
2020-10-09,10000
2020-10-16,10000
2020-10-23,10000
2020-11-06,10000
2020-11-13,10000
2020-11-20,10000
2020-11-27,10000
2020-12-04,10000
2020-12-11,10000
2020-12-18,10000
2020-12-25,10000
2020-12-31,10000
2021-01-01,10000
2021-01-08,10000
2021-01-15,10000
2021-01-22,10000
2021-02-05,10000
2021-02-12,10000
2021-02-19,10000
2021-02-26,10000
2021-03-05,10000
2021-03-12,10000
2021-03-19,10000
2021-03-26,10000
2021-03-31,10000
2021-04-02,10000
2021-04-09,10000
2021-04-16,10000
2021-04-23,10000
2021-05-07,51500
2021-05-14,55000
2021-05-21,52500
2021-05-28,52500
2021-06-04,32666.66667
2021-06-11,22666.66667
2021-06-18,22666.66667
2021-06-25,22666.66667
2021-07-02,20740
2021-07-09,22600
2021-07-16,22600
2021-07-23,22600
2021-07-30,22600
2021-07-06,10000
2021-07-13,10000
2021-07-20,10000
2021-07-27,10000
2021-09-03,10000
2021-09-10,10000
2021-09-17,10000
2021-09-24,10000
2021-09-30,10000
2021-10-08,10000
2021-10-15,10000
2021-10-22,10000
2021-10-29,10000
2021-11-05,12300
2021-11-12,12300
2021-11-19,13100
2021-11-26,13000
2021-12-03,15740
2021-12-10,17500
2021-12-17,17500
2021-12-24,17500
2021-12-31,17500
2022-01-07,10000
2022-01-14,10000
2022-01-21,10000
2022-01-28,10000
2022-02-04,10000
2022-02-11,10000
2022-02-18,10000
2022-02-25,10000
2022-03-04,10000
2022-03-11,10000
2022-03-18,10000
2022-03-25,10000
2022-03-31,10000
2022-04-08,10000
2022-04-15,10000
2022-04-22,10000
2022-04-29,10000
2022-05-06,10000
2022-05-13,10000
2022-05-20,10000
2022-05-27,10000
2020-03-06,10125
2020-03-13,10500
2020-03-20,10500
2020-03-27,10950
2020-03-30,11000
2022-07-08,11000
2022-07-15,10987.5
2022-07-22,11000
2022-07-29,11000
2022-07-05,11000
2022-07-12,11000
2022-07-19,11000
2022-07-26,11000
2022-07-31,11000
2022-09-09,11000
2022-09-16,11000
2022-09-23,11125
2022-09-30,11125
2022-10-08,11125
2022-10-15,11125
2022-10-22,11107.5
2022-10-29,11125
2022-11-04,11225
2022-11-11,11125
2022-11-18,11125
2022-11-25,11125
2022-11-30,11125
2022-12-09,11125
2022-12-16,11125
2022-12-23,11125
2022-12-30,11125
2023-01-06,11025
2023-01-13,11200
2023-01-20,11250
2023-01-27,11375
2023-02-03,10875
2023-02-10,11800
2023-02-17,12000
2023-02-24,11900
2023-03-03,12000
2023-03-10,12000
2023-03-17,12000
2023-03-24,12000
2023-03-31,12000
2023-04-07,12000
2023-04-14,12000
2023-04-21,12000
2023-04-28,12000
2023-05-05,12000
2023-05-12,12000
2023-05-19,12000
2023-05-26,12000
2023-05-31,12000
2023-06-09,12000
2023-06-16,12000
2023-06-23,12000
2023-06-30,12000
2023-07-07,12000
2023-07-14,12000
2023-07-21,12000
2023-07-28,12000
2023-08-04,12133.33333
2023-08-11,12166.66667
2023-08-18,12166.66667
2023-08-25,12166.66667
