Tanggal,Tempe
2020-01-03,
2020-01-10,
2020-01-17,
2020-01-24,
2020-01-31,
2020-02-07,
2020-02-14,
2020-02-21,
2020-02-28,
2020-03-06,
2020-03-13,
2020-03-20,
2020-03-27,
2020-04-03,
2020-04-10,
2020-04-17,
2020-04-24,
2020-04-30,
2020-05-01,
2020-05-08,
2020-05-15,
2020-05-22,
2020-06-05,
2020-06-12,
2020-06-19,
2020-06-26,
2020-07-03,
2020-07-10,
2020-07-17,
2020-07-24,
2020-07-31,
2020-07-07,
2020-07-14,
2020-07-21,
2020-07-28,
2020-09-04,
2020-09-11,
2020-09-18,
2020-09-25,
2020-09-30,
2020-10-02,
2020-10-09,
2020-10-16,
2020-10-23,
2020-11-06,
2020-11-13,
2020-11-20,
2020-11-27,
2020-12-04,
2020-12-11,
2020-12-18,
2020-12-25,
2020-12-31,
2021-01-01,
2021-01-08,
2021-01-15,
2021-01-22,
2021-02-05,
2021-02-12,
2021-02-19,
2021-02-26,
2021-03-05,
2021-03-12,
2021-03-19,
2021-03-26,
2021-03-31,
2021-04-02,
2021-04-09,
2021-04-16,
2021-04-23,
2021-05-07,
2021-05-14,
2021-05-21,
2021-05-28,
2021-06-04,
2021-06-11,
2021-06-18,
2021-06-25,
2021-07-02,
2021-07-09,
2021-07-16,
2021-07-23,
2021-07-30,
2021-07-06,
2021-07-13,
2021-07-20,
2021-07-27,
2021-09-03,
2021-09-10,
2021-09-17,
2021-09-24,
2021-09-30,
2021-10-08,
2021-10-15,
2021-10-22,
2021-10-29,
2021-11-05,
2021-11-12,
2021-11-19,
2021-11-26,
2021-12-03,
2021-12-10,
2021-12-17,
2021-12-24,
2021-12-31,
2022-01-07,
2022-01-14,
2022-01-21,
2022-01-28,
2022-02-04,
2022-02-11,
2022-02-18,
2022-02-25,
2022-03-04,
2022-03-11,
2022-03-18,
2022-03-25,
2022-03-31,
2022-04-08,
2022-04-15,
2022-04-22,
2022-04-29,
2022-05-06,
2022-05-13,
2022-05-20,
2022-05-27,
2020-03-06,
2020-03-13,
2020-03-20,
2020-03-27,
2020-03-30,
2022-07-08,
2022-07-15,
2022-07-22,
2022-07-29,
2022-07-05,
2022-07-12,
2022-07-19,
2022-07-26,
2022-07-31,
2022-09-09,
2022-09-16,
2022-09-23,
2022-09-30,
2022-10-08,
2022-10-15,
2022-10-22,
2022-10-29,
2022-11-04,12000
2022-11-11,12000
2022-11-18,12000
2022-11-25,12000
2022-11-30,12000
2022-12-09,12000
2022-12-16,12000
2022-12-23,12000
2022-12-30,11800
2023-01-06,12000
2023-01-13,12000
2023-01-20,12000
2023-01-27,12000
2023-02-03,12000
2023-02-10,12000
2023-02-17,12000
2023-02-24,12000
2023-03-03,12000
2023-03-10,12000
2023-03-17,12000
2023-03-24,12000
2023-03-31,12000
2023-04-07,12000
2023-04-14,12000
2023-04-21,12000
2023-04-28,12000
2023-05-05,12000
2023-05-12,12000
2023-05-19,12000
2023-05-26,12000
2023-05-31,12000
2023-06-09,12000
2023-06-16,12000
2023-06-23,12000
2023-06-30,12000
2023-07-07,12000
2023-07-14,12000
2023-07-21,12000
2023-07-28,12000
2023-08-04,12000
2023-08-11,12000
2023-08-18,12375
2023-08-25,12000
